study_hrs,distraction_hrs,sleep_hrs,stress_level,source,is_productive,strategy_type,switching_intensity
6.34,5.029999999999999,9.6,7,kaggle_20k,0,1,4.52645797413793
4.23,3.39,8.24,3,kaggle_20k,0,1,3.050634698275862
8.7,11.42,6.2,5,kaggle_20k,0,1,10.276769396551725
6.69,5.66,3.24,5,kaggle_20k,0,1,5.093390086206897
8.95,4.28,7.6,3,kaggle_20k,0,1,3.8515387931034484
9.17,7.46,4.78,3,kaggle_20k,0,1,6.7131961206896555
2.09,1.52,5.02,1,kaggle_20k,0,1,1.3678362068965517
6.97,7.34,3.14,8,kaggle_20k,0,1,6.605209051724138
3.52,3.33,6.9,6,kaggle_20k,0,1,2.9966411637931034
8.45,2.1500000000000004,5.03,1,kaggle_20k,1,1,1.9347683189655176
7.46,13.39,9.88,9,kaggle_20k,0,1,12.049557112068966
2.39,8.05,8.24,6,kaggle_20k,0,1,7.244132543103449
9.42,4.91,5.5,3,kaggle_20k,0,1,4.418470905172414
6.99,6.78,5.06,2,kaggle_20k,0,1,6.101269396551724
9.51,5.56,8.0,4,kaggle_20k,0,1,5.003400862068965
2.42,5.4,4.78,6,kaggle_20k,0,1,4.859418103448276
8.76,5.9,6.14,7,kaggle_20k,0,1,5.309364224137932
6.85,5.44,4.12,3,kaggle_20k,0,1,4.895413793103448
5.75,9.85,4.78,1,kaggle_20k,0,1,8.863938577586207
8.29,5.74,3.69,9,kaggle_20k,0,1,5.165381465517242
6.51,8.879999999999999,5.99,4,kaggle_20k,0,1,7.991043103448275
6.86,5.38,9.49,7,kaggle_20k,0,1,4.84142025862069
2.91,5.64,3.71,4,kaggle_20k,0,1,5.07539224137931
8.26,9.1,6.06,5,kaggle_20k,0,1,8.189019396551723
6.68,11.36,5.09,8,kaggle_20k,0,1,10.222775862068964
8.52,6.8,5.54,8,kaggle_20k,0,1,6.11926724137931
3.84,12.08,8.4,3,kaggle_20k,0,1,10.870698275862068
3.65,7.029999999999999,6.05,5,kaggle_20k,0,1,6.326242456896551
0.73,5.99,7.55,1,kaggle_20k,0,1,5.390354525862069
7.8,8.86,9.81,7,kaggle_20k,0,1,7.973045258620689
3.64,4.55,7.32,7,kaggle_20k,0,1,4.0945096982758615
3.61,8.03,5.36,8,kaggle_20k,0,1,7.226134698275861
7.04,10.96,5.78,3,kaggle_20k,0,1,9.862818965517242
2.9,5.91,7.87,1,kaggle_20k,0,1,5.318363146551724
9.14,8.36,7.86,8,kaggle_20k,0,1,7.523099137931034
5.61,10.07,5.58,5,kaggle_20k,0,1,9.061914870689655
9.71,8.68,8.07,10,kaggle_20k,0,1,7.811064655172413
1.23,8.940000000000001,6.85,7,kaggle_20k,0,1,8.045036637931036
3.7,6.48,9.86,1,kaggle_20k,0,1,5.831301724137932
4.12,8.1,9.36,4,kaggle_20k,0,1,7.289127155172413
7.44,7.84,8.77,6,kaggle_20k,0,1,7.055155172413793
2.52,11.27,3.24,7,kaggle_20k,0,1,10.141785560344827
4.07,8.11,5.66,2,kaggle_20k,0,1,7.298126077586207
9.15,5.76,7.01,5,kaggle_20k,0,1,5.183379310344828
1.59,4.32,6.65,8,kaggle_20k,0,1,3.887534482758621
7.58,6.57,8.34,3,kaggle_20k,0,1,5.912292025862069
7.17,2.93,9.36,1,kaggle_20k,1,1,2.6366842672413795
1.74,9.04,8.51,2,kaggle_20k,0,1,8.135025862068964
7.04,4.4,4.54,3,kaggle_20k,0,1,3.9595258620689657
5.91,3.27,6.4,2,kaggle_20k,0,1,2.9426476293103447
3.23,8.57,5.76,5,kaggle_20k,0,1,7.71207650862069
3.46,10.17,8.36,10,kaggle_20k,0,1,9.151904094827586
8.41,4.42,9.27,3,kaggle_20k,0,1,3.9775237068965517
2.69,0.7799999999999999,5.01,8,kaggle_20k,0,1,0.701915948275862
5.37,4.84,6.42,1,kaggle_20k,0,1,4.3554784482758615
6.97,13.510000000000002,8.12,3,kaggle_20k,0,1,12.157544181034485
1.73,6.93,3.35,4,kaggle_20k,0,1,6.23625323275862
9.36,7.68,9.74,9,kaggle_20k,0,1,6.911172413793103
2.98,9.91,8.6,5,kaggle_20k,0,1,8.917932112068966
3.53,4.390000000000001,6.8,10,kaggle_20k,0,1,3.9505269396551728
6.83,8.52,8.45,6,kaggle_20k,0,1,7.667081896551724
1.24,9.71,8.85,4,kaggle_20k,0,1,8.737953663793105
6.46,3.69,6.46,9,kaggle_20k,0,1,3.320602370689655
9.2,8.43,6.08,8,kaggle_20k,0,1,7.586091594827586
2.87,5.41,8.86,8,kaggle_20k,0,1,4.868417025862069
3.94,5.17,9.02,1,kaggle_20k,0,1,4.652442887931034
2.71,3.91,3.87,9,kaggle_20k,0,1,3.5185786637931034
8.28,8.26,9.35,10,kaggle_20k,0,1,7.433109913793103
2.09,4.44,4.94,6,kaggle_20k,0,1,3.9955215517241385
3.79,5.95,7.67,7,kaggle_20k,0,1,5.354358836206897
6.21,0.8300000000000001,7.97,10,kaggle_20k,1,1,0.7469105603448276
4.34,7.18,4.96,9,kaggle_20k,0,1,6.461226293103448
1.12,4.55,5.13,6,kaggle_20k,0,1,4.0945096982758615
9.5,4.3100000000000005,7.94,5,kaggle_20k,0,1,3.878535560344828
3.71,5.4,4.23,8,kaggle_20k,0,1,4.859418103448276
4.73,1.75,9.01,4,kaggle_20k,1,1,1.574811422413793
2.09,4.58,4.56,8,kaggle_20k,0,1,4.121506465517242
8.72,5.79,5.46,4,kaggle_20k,0,1,5.210376077586207
3.27,5.69,4.87,1,kaggle_20k,0,1,5.120386853448276
0.69,4.93,4.72,7,kaggle_20k,0,1,4.4364687499999995
3.51,2.5500000000000003,9.85,1,kaggle_20k,1,1,2.2947252155172415
9.85,6.48,4.77,2,kaggle_20k,0,1,5.831301724137932
1.9,10.84,7.05,3,kaggle_20k,0,1,9.754831896551725
0.8,2.73,8.22,1,kaggle_20k,0,1,2.456705818965517
5.99,10.39,3.29,6,kaggle_20k,0,1,9.349880387931035
4.03,7.76,9.17,3,kaggle_20k,0,1,6.983163793103448
8.05,6.819999999999999,4.07,3,kaggle_20k,0,1,6.137265086206896
7.45,8.290000000000001,7.12,9,kaggle_20k,0,1,7.460106681034484
2.26,5.96,7.49,8,kaggle_20k,0,1,5.3633577586206895
5.86,1.0,7.41,2,kaggle_20k,1,1,0.8998922413793103
0.81,4.44,8.13,9,kaggle_20k,0,1,3.9955215517241385
4.68,5.48,9.52,10,kaggle_20k,0,1,4.931409482758621
7.28,5.59,9.49,2,kaggle_20k,0,1,5.030397629310345
4.44,9.59,7.05,2,kaggle_20k,0,1,8.629966594827586
1.62,9.64,5.59,3,kaggle_20k,0,1,8.674961206896553
1.08,9.8,5.25,3,kaggle_20k,0,1,8.818943965517242
8.61,5.449999999999999,9.21,8,kaggle_20k,0,1,4.904412715517241
8.97,4.74,8.97,2,kaggle_20k,0,1,4.265489224137931
3.76,10.58,5.07,1,kaggle_20k,0,1,9.520859913793103
2.06,3.53,4.07,5,kaggle_20k,0,1,3.1766196120689654
9.8,6.0600000000000005,9.03,1,kaggle_20k,0,1,5.453346982758621
5.69,6.46,7.26,3,kaggle_20k,0,1,5.813303879310345
5.03,7.84,5.19,6,kaggle_20k,0,1,7.055155172413793
7.55,12.12,7.27,6,kaggle_20k,0,1,10.90669396551724
2.1,4.09,3.46,5,kaggle_20k,0,1,3.6805592672413794
6.01,10.57,4.33,1,kaggle_20k,0,1,9.51186099137931
8.96,9.16,6.82,1,kaggle_20k,0,1,8.243012931034484
0.72,6.59,6.77,3,kaggle_20k,0,1,5.930289870689655
6.89,6.57,4.73,10,kaggle_20k,0,1,5.912292025862069
5.74,5.9,9.87,8,kaggle_20k,0,1,5.309364224137932
9.53,9.66,5.89,9,kaggle_20k,0,1,8.692959051724138
2.96,1.69,7.96,7,kaggle_20k,0,1,1.5208178879310343
8.66,0.97,4.81,3,kaggle_20k,1,1,0.872895474137931
3.44,2.53,5.97,3,kaggle_20k,0,1,2.276727370689655
4.58,4.0,8.82,5,kaggle_20k,0,1,3.5995689655172414
2.53,8.370000000000001,8.94,4,kaggle_20k,0,1,7.532098060344828
8.7,9.44,3.95,4,kaggle_20k,0,1,8.494982758620688
2.36,7.69,5.48,5,kaggle_20k,0,1,6.920171336206897
8.66,9.12,4.42,6,kaggle_20k,0,1,8.20701724137931
4.83,10.12,9.23,2,kaggle_20k,0,1,9.10690948275862
8.43,0.23,8.28,7,kaggle_20k,1,1,0.20697521551724138
3.01,0.35,6.94,1,kaggle_20k,1,1,0.3149622844827586
1.76,8.27,7.55,4,kaggle_20k,0,1,7.442108836206896
5.77,8.120000000000001,9.4,1,kaggle_20k,0,1,7.307125000000001
5.34,4.3100000000000005,5.12,5,kaggle_20k,0,1,3.878535560344828
3.89,6.6000000000000005,3.1,9,kaggle_20k,0,1,5.939288793103449
6.8,7.21,3.18,1,kaggle_20k,0,1,6.488223060344827
1.4,8.73,3.33,5,kaggle_20k,0,1,7.856059267241379
6.41,1.72,3.9,9,kaggle_20k,0,1,1.5478146551724137
2.51,3.34,7.0,1,kaggle_20k,0,1,3.0056400862068964
1.73,10.41,9.87,10,kaggle_20k,0,1,9.36787823275862
9.14,10.77,5.94,9,kaggle_20k,0,1,9.691839439655173
4.87,5.17,7.99,10,kaggle_20k,0,1,4.652442887931034
7.75,5.390000000000001,8.55,8,kaggle_20k,0,1,4.850419181034483
1.35,6.87,8.61,4,kaggle_20k,0,1,6.182259698275862
1.05,7.52,6.1,7,kaggle_20k,0,1,6.767189655172413
5.2,11.28,6.85,1,kaggle_20k,0,1,10.15078448275862
3.5,9.37,5.3,3,kaggle_20k,0,1,8.431990301724138
0.55,7.09,7.82,10,kaggle_20k,0,1,6.38023599137931
2.24,5.69,5.68,4,kaggle_20k,0,1,5.120386853448276
2.58,2.99,5.18,1,kaggle_20k,0,1,2.690677801724138
3.24,7.09,7.39,9,kaggle_20k,0,1,6.38023599137931
8.84,11.96,5.39,9,kaggle_20k,0,1,10.762711206896553
4.5,11.3,5.86,3,kaggle_20k,0,1,10.168782327586207
6.95,7.96,7.98,3,kaggle_20k,0,1,7.16314224137931
0.67,3.74,8.97,3,kaggle_20k,0,1,3.3655969827586207
8.23,5.789999999999999,6.04,5,kaggle_20k,0,1,5.210376077586206
2.78,7.89,6.66,5,kaggle_20k,0,1,7.100149784482758
3.44,3.75,8.22,3,kaggle_20k,0,1,3.3745959051724137
0.93,5.79,4.57,10,kaggle_20k,0,1,5.210376077586207
4.39,13.4,5.91,8,kaggle_20k,0,1,12.05855603448276
8.6,4.69,8.68,7,kaggle_20k,0,1,4.220494612068966
4.1,6.0600000000000005,9.26,3,kaggle_20k,0,1,5.453346982758621
9.13,7.48,7.51,7,kaggle_20k,0,1,6.7311939655172415
8.74,5.789999999999999,5.75,4,kaggle_20k,0,1,5.210376077586206
1.09,6.2,7.24,3,kaggle_20k,0,1,5.579331896551724
3.4,7.43,4.25,8,kaggle_20k,0,1,6.686199353448275
9.15,8.81,3.21,8,kaggle_20k,0,1,7.928050646551725
0.78,2.08,3.52,2,kaggle_20k,0,1,1.8717758620689655
7.78,6.8500000000000005,3.76,9,kaggle_20k,0,1,6.164261853448276
9.11,6.45,4.58,3,kaggle_20k,0,1,5.8043049568965515
7.82,1.65,6.23,2,kaggle_20k,1,1,1.484822198275862
7.57,7.119999999999999,4.63,4,kaggle_20k,0,1,6.4072327586206885
8.51,2.66,7.1,9,kaggle_20k,1,1,2.3937133620689655
6.83,6.66,9.99,9,kaggle_20k,0,1,5.993282327586207
4.52,4.09,6.49,2,kaggle_20k,0,1,3.6805592672413794
1.1,6.37,8.3,2,kaggle_20k,0,1,5.732313577586207
7.99,9.39,5.05,2,kaggle_20k,0,1,8.449988146551725
9.1,7.979999999999999,9.74,2,kaggle_20k,0,1,7.181140086206895
5.36,7.0600000000000005,4.74,5,kaggle_20k,0,1,6.353239224137932
5.56,10.42,7.18,5,kaggle_20k,0,1,9.376877155172414
4.33,6.220000000000001,9.88,2,kaggle_20k,0,1,5.597329741379311
8.64,8.49,8.66,7,kaggle_20k,0,1,7.640085129310345
0.64,7.85,9.94,5,kaggle_20k,0,1,7.064154094827586
6.43,6.430000000000001,5.66,7,kaggle_20k,0,1,5.786307112068966
9.12,7.39,3.54,6,kaggle_20k,0,1,6.6502036637931035
1.48,5.93,4.7,1,kaggle_20k,0,1,5.33636099137931
9.61,4.55,9.7,2,kaggle_20k,0,1,4.0945096982758615
9.69,1.91,5.59,10,kaggle_20k,1,1,1.7187941810344827
9.33,3.9,3.87,9,kaggle_20k,0,1,3.5095797413793104
4.89,4.12,7.15,2,kaggle_20k,0,1,3.7075560344827587
4.14,1.96,6.5,4,kaggle_20k,0,1,1.7637887931034482
7.21,3.09,3.44,3,kaggle_20k,0,1,2.7806670258620687
3.53,5.800000000000001,6.17,8,kaggle_20k,0,1,5.219375
1.15,9.94,7.43,1,kaggle_20k,0,1,8.944928879310345
9.06,9.02,4.63,5,kaggle_20k,0,1,8.11702801724138
6.53,8.51,3.87,6,kaggle_20k,0,1,7.658082974137931
2.47,8.21,9.05,8,kaggle_20k,0,1,7.388115301724139
0.67,7.94,7.38,5,kaggle_20k,0,1,7.145144396551724
7.37,11.07,4.09,6,kaggle_20k,0,1,9.961807112068966
8.6,6.37,7.4,2,kaggle_20k,0,1,5.732313577586207
4.35,9.77,8.15,4,kaggle_20k,0,1,8.791947198275862
1.27,1.62,7.18,6,kaggle_20k,0,1,1.457825431034483
6.66,5.56,3.81,2,kaggle_20k,0,1,5.003400862068965
3.32,7.19,3.87,5,kaggle_20k,0,1,6.4702252155172415
1.87,11.73,3.32,1,kaggle_20k,0,1,10.555735991379311
5.35,4.75,4.64,10,kaggle_20k,0,1,4.274488146551724
5.08,10.92,3.42,1,kaggle_20k,0,1,9.826823275862068
5.41,6.41,8.64,6,kaggle_20k,0,1,5.76830926724138
8.33,5.17,3.11,10,kaggle_20k,0,1,4.652442887931034
5.1,3.0500000000000003,7.07,4,kaggle_20k,0,1,2.744671336206897
9.06,6.23,8.67,5,kaggle_20k,0,1,5.606328663793104
8.5,4.880000000000001,9.26,8,kaggle_20k,0,1,4.391474137931035
6.69,8.3,5.87,9,kaggle_20k,0,1,7.469105603448276
1.04,7.66,7.35,2,kaggle_20k,0,1,6.8931745689655175
8.72,12.91,9.66,2,kaggle_20k,0,1,11.617608836206896
9.1,5.21,7.7,2,kaggle_20k,0,1,4.688438577586207
4.06,3.31,9.31,6,kaggle_20k,1,1,2.9786433189655175
5.5,7.1,7.79,7,kaggle_20k,0,1,6.3892349137931035
3.17,10.58,3.48,3,kaggle_20k,0,1,9.520859913793103
0.64,6.18,4.38,5,kaggle_20k,0,1,5.561334051724137
5.05,6.25,9.58,4,kaggle_20k,0,1,5.6243265086206895
1.73,7.7,8.91,10,kaggle_20k,0,1,6.929170258620689
2.24,10.15,5.96,5,kaggle_20k,0,1,9.13390625
5.07,7.16,4.13,3,kaggle_20k,0,1,6.443228448275862
8.74,9.43,4.1,7,kaggle_20k,0,1,8.485983836206897
8.52,6.83,9.33,6,kaggle_20k,0,1,6.1462640086206894
9.67,4.21,4.16,6,kaggle_20k,0,1,3.7885463362068963
5.09,3.66,5.7,3,kaggle_20k,0,1,3.293605603448276
5.74,6.380000000000001,9.31,3,kaggle_20k,0,1,5.7413125
8.31,11.07,3.23,3,kaggle_20k,0,1,9.961807112068966
7.15,11.54,7.42,6,kaggle_20k,0,1,10.38475646551724
2.24,6.45,5.45,2,kaggle_20k,0,1,5.8043049568965515
4.28,9.49,3.75,8,kaggle_20k,0,1,8.539977370689655
9.33,4.37,6.97,1,kaggle_20k,0,1,3.9325290948275864
1.89,7.05,6.39,6,kaggle_20k,0,1,6.344240301724137
2.49,6.4,3.69,5,kaggle_20k,0,1,5.759310344827586
4.31,7.899999999999999,4.87,2,kaggle_20k,0,1,7.10914870689655
9.43,3.75,8.18,8,kaggle_20k,0,1,3.3745959051724137
1.58,4.91,8.29,8,kaggle_20k,0,1,4.418470905172414
6.89,6.289999999999999,7.19,9,kaggle_20k,0,1,5.660322198275861
1.76,5.029999999999999,3.77,7,kaggle_20k,0,1,4.52645797413793
5.48,10.27,8.97,5,kaggle_20k,0,1,9.241893318965516
5.6,8.18,4.21,9,kaggle_20k,0,1,7.361118534482759
0.9,7.51,8.05,2,kaggle_20k,0,1,6.758190732758621
9.56,6.109999999999999,3.3,2,kaggle_20k,0,1,5.498341594827585
8.16,8.7,5.32,9,kaggle_20k,0,1,7.829062499999999
3.38,7.12,6.35,9,kaggle_20k,0,1,6.407232758620689
1.74,7.300000000000001,3.2,8,kaggle_20k,0,1,6.569213362068966
3.78,6.88,4.2,4,kaggle_20k,0,1,6.191258620689655
9.0,5.53,5.23,1,kaggle_20k,0,1,4.976404094827586
1.76,4.33,9.88,1,kaggle_20k,0,1,3.8965334051724136
3.82,7.59,8.46,1,kaggle_20k,0,1,6.830182112068965
5.2,5.45,8.88,3,kaggle_20k,0,1,4.904412715517242
0.81,7.02,7.67,5,kaggle_20k,0,1,6.317243534482758
3.05,6.0600000000000005,5.05,10,kaggle_20k,0,1,5.453346982758621
6.16,5.2700000000000005,7.97,6,kaggle_20k,0,1,4.742432112068966
3.58,12.62,7.72,9,kaggle_20k,0,1,11.356640086206896
8.77,9.51,7.27,5,kaggle_20k,0,1,8.55797521551724
9.4,7.82,5.09,9,kaggle_20k,0,1,7.037157327586207
4.69,12.85,4.84,4,kaggle_20k,0,1,11.563615301724138
5.55,1.13,5.35,5,kaggle_20k,0,1,1.0168782327586205
6.49,6.5,5.19,2,kaggle_20k,0,1,5.849299568965518
6.81,7.88,3.54,4,kaggle_20k,0,1,7.091150862068965
1.1,3.12,8.62,4,kaggle_20k,0,1,2.8076637931034485
1.01,8.67,5.58,3,kaggle_20k,0,1,7.802065732758621
8.72,6.02,7.95,7,kaggle_20k,0,1,5.417351293103448
2.59,9.74,4.96,5,kaggle_20k,0,1,8.764950431034483
6.05,10.09,7.21,8,kaggle_20k,0,1,9.079912715517242
6.43,6.51,3.24,7,kaggle_20k,0,1,5.85829849137931
2.06,3.97,3.74,5,kaggle_20k,0,1,3.572572198275862
7.74,4.05,5.55,6,kaggle_20k,0,1,3.6445635775862066
8.73,6.07,4.88,7,kaggle_20k,0,1,5.462345905172414
3.21,6.4,5.47,2,kaggle_20k,0,1,5.759310344827586
8.84,9.17,9.51,4,kaggle_20k,0,1,8.252011853448275
1.27,5.74,3.52,9,kaggle_20k,0,1,5.165381465517242
8.1,8.71,6.24,5,kaggle_20k,0,1,7.8380614224137934
6.58,8.27,4.39,5,kaggle_20k,0,1,7.442108836206896
6.04,10.83,5.49,4,kaggle_20k,0,1,9.745832974137931
2.69,10.0,7.74,1,kaggle_20k,0,1,8.998922413793103
3.94,8.55,9.81,5,kaggle_20k,0,1,7.694078663793104
9.15,6.4,7.86,1,kaggle_20k,0,1,5.759310344827586
4.92,10.63,9.19,1,kaggle_20k,0,1,9.56585452586207
6.15,9.66,4.03,3,kaggle_20k,0,1,8.692959051724138
9.39,8.17,4.27,1,kaggle_20k,0,1,7.352119612068965
4.93,7.03,9.14,8,kaggle_20k,0,1,6.326242456896552
4.19,11.98,7.25,8,kaggle_20k,0,1,10.780709051724138
8.99,4.71,8.54,7,kaggle_20k,0,1,4.238492456896552
9.15,11.59,4.56,10,kaggle_20k,0,1,10.429751077586207
3.87,2.92,5.44,4,kaggle_20k,0,1,2.627685344827586
6.12,9.19,3.57,8,kaggle_20k,0,1,8.270009698275862
9.66,4.66,9.27,2,kaggle_20k,0,1,4.193497844827586
1.03,4.76,9.69,3,kaggle_20k,0,1,4.283487068965517
0.88,7.99,9.0,5,kaggle_20k,0,1,7.19013900862069
5.41,5.380000000000001,6.06,9,kaggle_20k,0,1,4.8414202586206905
3.27,7.27,5.39,2,kaggle_20k,0,1,6.542216594827586
6.03,9.88,6.24,4,kaggle_20k,0,1,8.890935344827588
7.38,5.46,7.46,2,kaggle_20k,0,1,4.913411637931034
1.16,5.62,6.02,7,kaggle_20k,0,1,5.057394396551724
8.88,8.89,5.95,7,kaggle_20k,0,1,8.000042025862069
3.13,7.98,6.02,4,kaggle_20k,0,1,7.181140086206897
4.12,9.27,8.21,6,kaggle_20k,0,1,8.342001077586206
3.7,11.73,8.51,8,kaggle_20k,0,1,10.555735991379311
8.48,6.5,9.09,1,kaggle_20k,0,1,5.849299568965518
2.12,6.09,4.7,5,kaggle_20k,0,1,5.48034375
0.77,9.21,4.1,4,kaggle_20k,0,1,8.288007543103449
9.73,4.6,5.42,10,kaggle_20k,0,1,4.139504310344828
9.82,6.81,5.94,6,kaggle_20k,0,1,6.1282661637931035
2.95,7.54,7.91,3,kaggle_20k,0,1,6.7851875
0.59,9.11,8.31,7,kaggle_20k,0,1,8.198018318965516
6.64,8.76,9.89,7,kaggle_20k,0,1,7.883056034482759
6.66,1.58,5.65,3,kaggle_20k,0,1,1.4218297413793104
9.43,10.0,5.82,3,kaggle_20k,0,1,8.998922413793103
3.34,10.46,6.79,7,kaggle_20k,0,1,9.412872844827588
2.3,8.9,8.74,1,kaggle_20k,0,1,8.009040948275862
6.36,8.69,7.63,2,kaggle_20k,0,1,7.820063577586207
5.85,2.0700000000000003,7.01,4,kaggle_20k,1,1,1.8627769396551728
7.32,7.59,7.54,8,kaggle_20k,0,1,6.830182112068965
8.91,5.75,6.25,9,kaggle_20k,0,1,5.174380387931034
5.82,8.780000000000001,8.31,5,kaggle_20k,0,1,7.9010538793103455
1.93,5.800000000000001,3.53,8,kaggle_20k,0,1,5.219375
