study_hrs,distraction_hrs,sleep_hrs,stress_level,source,is_productive
4.35,9.77,8.15,4,kaggle_20k,0
1.27,1.62,7.18,6,kaggle_20k,0
6.66,5.56,3.81,2,kaggle_20k,1
3.32,7.1899999999999995,3.87,5,kaggle_20k,0
1.87,11.73,3.32,1,kaggle_20k,0
5.35,4.75,4.64,10,kaggle_20k,0
5.08,10.92,3.42,1,kaggle_20k,1
5.41,6.41,8.64,6,kaggle_20k,1
8.33,5.17,3.11,10,kaggle_20k,1
5.1,3.0500000000000003,7.07,4,kaggle_20k,0
9.06,6.23,8.67,5,kaggle_20k,1
8.5,4.880000000000001,9.26,8,kaggle_20k,1
6.69,8.3,5.87,9,kaggle_20k,1
1.04,7.66,7.35,2,kaggle_20k,0
8.72,12.91,9.66,2,kaggle_20k,1
9.1,5.21,7.7,2,kaggle_20k,1
4.06,3.31,9.31,6,kaggle_20k,1
5.5,7.1,7.79,7,kaggle_20k,1
3.17,10.58,3.48,3,kaggle_20k,0
0.64,6.18,4.38,5,kaggle_20k,0
5.05,6.25,9.58,4,kaggle_20k,0
1.73,7.7,8.91,10,kaggle_20k,0
2.24,10.149999999999999,5.96,5,kaggle_20k,0
5.07,7.16,4.13,3,kaggle_20k,1
8.74,9.43,4.1,7,kaggle_20k,0
8.52,6.83,9.33,6,kaggle_20k,1
9.67,4.21,4.16,6,kaggle_20k,1
5.09,3.66,5.7,3,kaggle_20k,0
5.74,6.380000000000001,9.31,3,kaggle_20k,1
8.31,11.07,3.23,3,kaggle_20k,1
7.15,11.54,7.42,6,kaggle_20k,1
2.24,6.45,5.45,2,kaggle_20k,0
4.28,9.49,3.75,8,kaggle_20k,0
9.33,4.37,6.97,1,kaggle_20k,1
1.89,7.05,6.39,6,kaggle_20k,0
2.49,6.3999999999999995,3.69,5,kaggle_20k,0
4.31,7.8999999999999995,4.87,2,kaggle_20k,1
9.43,3.75,8.18,8,kaggle_20k,1
1.58,4.91,8.29,8,kaggle_20k,0
6.89,6.289999999999999,7.19,9,kaggle_20k,1
1.76,5.029999999999999,3.77,7,kaggle_20k,0
5.48,10.27,8.97,5,kaggle_20k,1
5.6,8.18,4.21,9,kaggle_20k,0
0.9,7.51,8.05,2,kaggle_20k,0
9.56,6.109999999999999,3.3,2,kaggle_20k,1
8.16,8.7,5.32,9,kaggle_20k,1
3.38,7.12,6.35,9,kaggle_20k,1
1.74,7.300000000000001,3.2,8,kaggle_20k,0
3.78,6.88,4.2,4,kaggle_20k,0
9.0,5.53,5.23,1,kaggle_20k,1
1.76,4.33,9.88,1,kaggle_20k,1
3.82,7.59,8.46,1,kaggle_20k,1
5.2,5.45,8.88,3,kaggle_20k,1
0.81,7.02,7.67,5,kaggle_20k,0
3.05,6.0600000000000005,5.05,10,kaggle_20k,0
6.16,5.2700000000000005,7.97,6,kaggle_20k,0
3.58,12.620000000000001,7.72,9,kaggle_20k,0
8.77,9.51,7.27,5,kaggle_20k,1
9.4,7.82,5.09,9,kaggle_20k,1
4.69,12.850000000000001,4.84,4,kaggle_20k,0
5.55,1.1300000000000001,5.35,5,kaggle_20k,0
6.49,6.5,5.19,2,kaggle_20k,1
6.81,7.88,3.54,4,kaggle_20k,1
1.1,3.12,8.62,4,kaggle_20k,0
1.01,8.67,5.58,3,kaggle_20k,0
8.72,6.02,7.95,7,kaggle_20k,1
2.59,9.74,4.96,5,kaggle_20k,0
6.05,10.09,7.21,8,kaggle_20k,0
6.43,6.51,3.24,7,kaggle_20k,1
2.06,3.9699999999999998,3.74,5,kaggle_20k,0
7.74,4.05,5.55,6,kaggle_20k,1
8.73,6.07,4.88,7,kaggle_20k,1
3.21,6.4,5.47,2,kaggle_20k,0
8.84,9.17,9.51,4,kaggle_20k,1
1.27,5.74,3.52,9,kaggle_20k,0
8.1,8.71,6.24,5,kaggle_20k,1
6.58,8.27,4.39,5,kaggle_20k,0
6.04,10.83,5.49,4,kaggle_20k,1
2.69,10.0,7.74,1,kaggle_20k,1
3.94,8.55,9.81,5,kaggle_20k,0
9.15,6.3999999999999995,7.86,1,kaggle_20k,1
4.92,10.63,9.19,1,kaggle_20k,1
6.15,9.66,4.03,3,kaggle_20k,0
9.39,8.17,4.27,1,kaggle_20k,1
4.93,7.03,9.14,8,kaggle_20k,1
4.19,11.98,7.25,8,kaggle_20k,0
8.99,4.71,8.54,7,kaggle_20k,1
9.15,11.59,4.56,10,kaggle_20k,0
3.87,2.92,5.44,4,kaggle_20k,0
6.12,9.19,3.57,8,kaggle_20k,0
9.66,4.66,9.27,2,kaggle_20k,1
1.03,4.76,9.69,3,kaggle_20k,0
0.88,7.99,9.0,5,kaggle_20k,0
5.41,5.380000000000001,6.06,9,kaggle_20k,0
3.27,7.27,5.39,2,kaggle_20k,0
6.03,9.879999999999999,6.24,4,kaggle_20k,1
7.38,5.46,7.46,2,kaggle_20k,1
1.16,5.62,6.02,7,kaggle_20k,0
8.88,8.89,5.95,7,kaggle_20k,1
3.13,7.98,6.02,4,kaggle_20k,0
4.12,9.27,8.21,6,kaggle_20k,1
3.7,11.73,8.51,8,kaggle_20k,0
8.48,6.5,9.09,1,kaggle_20k,1
2.12,6.09,4.7,5,kaggle_20k,0
0.77,9.21,4.1,4,kaggle_20k,0
9.73,4.6,5.42,10,kaggle_20k,1
9.82,6.81,5.94,6,kaggle_20k,1
2.95,7.54,7.91,3,kaggle_20k,0
0.59,9.11,8.31,7,kaggle_20k,1
6.64,8.76,9.89,7,kaggle_20k,1
6.66,1.58,5.65,3,kaggle_20k,0
9.43,10.0,5.82,3,kaggle_20k,1
3.34,10.46,6.79,7,kaggle_20k,0
2.3,8.9,8.74,1,kaggle_20k,1
6.36,8.69,7.63,2,kaggle_20k,1
5.85,2.0700000000000003,7.01,4,kaggle_20k,1
7.32,7.59,7.54,8,kaggle_20k,1
8.91,5.75,6.25,9,kaggle_20k,1
5.82,8.780000000000001,8.31,5,kaggle_20k,1
1.93,5.800000000000001,3.53,8,kaggle_20k,0
6.18,6.010000000000001,6.56,1,kaggle_20k,0
4.05,5.140000000000001,8.65,1,kaggle_20k,1
4.8,1.24,5.12,3,kaggle_20k,1
9.62,7.83,8.9,1,kaggle_20k,1
5.77,9.82,8.48,10,kaggle_20k,1
1.92,10.17,7.06,3,kaggle_20k,1
4.71,9.32,4.77,8,kaggle_20k,0
2.67,5.08,9.03,2,kaggle_20k,1
1.79,4.08,3.21,6,kaggle_20k,0
7.27,5.210000000000001,7.15,6,kaggle_20k,1
6.47,4.35,8.48,2,kaggle_20k,1
5.23,6.57,6.4,6,kaggle_20k,1
4.52,7.18,3.72,1,kaggle_20k,0
3.56,7.63,8.84,10,kaggle_20k,0
1.34,13.84,9.36,4,kaggle_20k,0
3.34,9.14,6.94,5,kaggle_20k,1
8.46,7.0,8.51,6,kaggle_20k,1
7.94,11.95,7.28,3,kaggle_20k,1
9.74,7.25,7.01,7,kaggle_20k,1
6.73,3.01,3.92,1,kaggle_20k,1
5.76,9.32,6.06,1,kaggle_20k,1
3.31,3.17,7.75,4,kaggle_20k,0
1.23,5.42,6.18,1,kaggle_20k,0
6.37,9.77,7.32,8,kaggle_20k,0
5.14,6.2299999999999995,9.26,1,kaggle_20k,0
7.71,5.13,5.56,10,kaggle_20k,0
4.41,6.06,8.8,6,kaggle_20k,1
9.86,12.74,3.2,9,kaggle_20k,1
4.28,9.77,8.97,3,kaggle_20k,0
3.66,1.52,3.75,4,kaggle_20k,0
8.77,9.129999999999999,5.25,5,kaggle_20k,1
4.26,3.58,6.59,2,kaggle_20k,0
8.77,7.24,7.55,4,kaggle_20k,1
0.76,7.279999999999999,9.67,3,kaggle_20k,0
7.08,3.62,5.15,8,kaggle_20k,0
1.18,5.53,3.6,3,kaggle_20k,0
1.91,8.32,6.21,6,kaggle_20k,0
7.15,1.06,5.42,1,kaggle_20k,1
3.25,12.219999999999999,7.2,7,kaggle_20k,0
2.5,5.279999999999999,9.46,10,kaggle_20k,0
8.11,6.98,7.5,6,kaggle_20k,1
9.49,12.690000000000001,7.05,1,kaggle_20k,1
2.71,5.37,4.72,10,kaggle_20k,0
3.51,2.66,4.85,3,kaggle_20k,0
7.28,8.76,6.05,10,kaggle_20k,0
8.25,2.33,9.24,1,kaggle_20k,1
9.99,7.74,7.06,6,kaggle_20k,1
3.1,7.7,6.46,5,kaggle_20k,0
5.79,4.47,6.8,8,kaggle_20k,0
1.77,11.23,8.84,2,kaggle_20k,0
3.64,10.91,7.75,7,kaggle_20k,0
0.93,7.24,9.49,9,kaggle_20k,0
2.5,8.04,7.07,7,kaggle_20k,0
5.31,5.92,4.37,7,kaggle_20k,0
2.06,9.129999999999999,3.13,1,kaggle_20k,0
8.95,6.300000000000001,5.22,2,kaggle_20k,1
7.25,7.630000000000001,3.44,2,kaggle_20k,1
0.76,10.27,5.85,10,kaggle_20k,0
8.83,3.17,4.32,3,kaggle_20k,1
9.78,7.85,5.83,2,kaggle_20k,1
5.27,12.45,5.79,5,kaggle_20k,1
3.49,6.1899999999999995,4.93,8,kaggle_20k,0
3.0,11.94,7.57,1,kaggle_20k,1
1.33,5.67,6.03,9,kaggle_20k,0
5.17,12.030000000000001,9.25,5,kaggle_20k,1
0.98,4.38,3.53,1,kaggle_20k,0
5.29,1.91,5.87,3,kaggle_20k,0
2.9,7.76,8.43,4,kaggle_20k,0
5.03,8.75,6.46,1,kaggle_20k,1
4.47,6.069999999999999,9.76,4,kaggle_20k,1
3.4,4.87,4.22,5,kaggle_20k,0
4.76,6.630000000000001,5.21,10,kaggle_20k,0
5.0,7.99,3.81,8,kaggle_20k,0
8.42,9.93,4.73,7,kaggle_20k,0
6.82,6.32,7.71,4,kaggle_20k,1
4.61,5.62,6.41,1,kaggle_20k,1
9.1,1.92,4.13,6,kaggle_20k,0
7.68,3.92,6.32,4,kaggle_20k,1
1.22,10.06,8.93,9,kaggle_20k,0
1.96,6.25,6.08,4,kaggle_20k,0
1.28,6.779999999999999,3.09,10,kaggle_20k,0
3.53,11.3,3.38,8,kaggle_20k,0
4.64,6.65,6.07,2,kaggle_20k,0
5.29,6.109999999999999,7.15,5,kaggle_20k,1
8.59,4.45,9.21,6,kaggle_20k,1
0.67,4.6899999999999995,9.87,4,kaggle_20k,1
4.57,3.23,9.86,7,kaggle_20k,1
4.4,8.620000000000001,6.91,10,kaggle_20k,1
9.5,7.65,3.25,4,kaggle_20k,1
2.79,8.39,4.49,7,kaggle_20k,0
1.66,1.24,6.04,9,kaggle_20k,0
1.85,7.3,9.16,5,kaggle_20k,0
5.44,13.67,3.15,1,kaggle_20k,1
4.21,11.32,6.57,7,kaggle_20k,1
7.66,5.73,7.57,4,kaggle_20k,1
3.57,7.04,5.02,7,kaggle_20k,0
1.72,11.64,5.21,5,kaggle_20k,0
4.18,3.46,5.72,6,kaggle_20k,1
8.89,7.3999999999999995,4.92,7,kaggle_20k,1
4.35,8.69,6.06,5,kaggle_20k,0
8.42,9.649999999999999,4.11,8,kaggle_20k,1
4.03,1.6600000000000001,4.4,9,kaggle_20k,0
3.17,7.5600000000000005,3.26,5,kaggle_20k,0
7.86,5.739999999999999,5.88,4,kaggle_20k,1
2.49,6.859999999999999,7.95,7,kaggle_20k,1
2.7,6.15,6.54,6,kaggle_20k,0
0.97,12.35,6.71,7,kaggle_20k,0
2.28,11.24,6.15,8,kaggle_20k,0
4.1,1.61,7.09,7,kaggle_20k,1
4.3,8.92,4.61,6,kaggle_20k,0
4.5,2.36,4.45,3,kaggle_20k,0
5.06,4.87,9.59,3,kaggle_20k,0
5.93,4.82,6.15,9,kaggle_20k,0
2.3,7.25,8.79,2,kaggle_20k,1
6.33,7.93,9.42,3,kaggle_20k,1
3.7,11.030000000000001,7.3,5,kaggle_20k,1
7.47,7.38,5.09,7,kaggle_20k,1
5.79,12.07,7.76,10,kaggle_20k,0
5.77,13.620000000000001,6.02,2,kaggle_20k,1
7.01,2.8,9.81,3,kaggle_20k,1
3.66,1.23,8.68,2,kaggle_20k,0
4.58,5.81,8.7,9,kaggle_20k,1
6.04,12.02,7.12,6,kaggle_20k,0
4.5,12.120000000000001,3.06,10,kaggle_20k,0
4.72,6.3,8.82,3,kaggle_20k,0
3.09,1.6099999999999999,3.18,5,kaggle_20k,0
3.23,5.46,3.86,7,kaggle_20k,0
7.14,9.05,8.87,5,kaggle_20k,1
0.54,3.27,4.53,7,kaggle_20k,0
1.41,8.07,8.89,1,kaggle_20k,0
9.51,5.73,4.65,4,kaggle_20k,1
2.28,2.89,8.39,1,kaggle_20k,0
4.47,8.33,6.8,10,kaggle_20k,0
8.57,7.6000000000000005,7.7,4,kaggle_20k,1
0.5,4.779999999999999,8.87,9,kaggle_20k,0
9.29,10.43,9.89,5,kaggle_20k,1
1.01,8.370000000000001,3.6,10,kaggle_20k,0
2.12,2.09,7.8,1,kaggle_20k,0
0.78,4.68,9.71,10,kaggle_20k,0
5.44,0.57,5.62,6,kaggle_20k,0
9.46,9.47,5.34,5,kaggle_20k,1
8.47,8.83,7.76,3,kaggle_20k,1
6.58,10.39,5.81,9,kaggle_20k,0
2.26,6.0600000000000005,4.5,8,kaggle_20k,0
8.76,8.61,4.13,9,kaggle_20k,0
7.67,6.390000000000001,4.35,5,kaggle_20k,1
3.04,8.86,7.93,4,kaggle_20k,1
8.15,9.26,9.43,4,kaggle_20k,1
8.83,5.07,8.64,6,kaggle_20k,1
7.13,4.63,6.14,5,kaggle_20k,0
1.45,3.7,6.7,4,kaggle_20k,0
9.85,9.32,7.34,5,kaggle_20k,1
1.22,9.98,7.06,7,kaggle_20k,0
6.72,8.14,9.78,7,kaggle_20k,1
1.55,5.97,9.21,6,kaggle_20k,0
9.1,8.91,3.3,2,kaggle_20k,1
3.82,9.8,8.85,10,kaggle_20k,0
5.36,2.1399999999999997,3.8,6,kaggle_20k,0
