date,session_ts,exe_name,total_seconds,q1_seconds,q2_seconds,q3_seconds,q4_seconds,dominant_q,predicted_q,window_title,feature_text,frequency_rank
2026-06-01,2026-06-01 21:13:31,screenclippinghost.exe,2,0,2,0,0,1,,,,4
2026-06-01,2026-06-01 21:16:06,code.exe,86,0,86,0,0,1,,,,1
2026-06-01,2026-06-01 21:17:04,code.exe,2,0,2,0,0,1,,,,1
2026-06-01,2026-06-01 21:20:07,code.exe,22,0,22,0,0,1,,,,1
2026-06-01,2026-06-01 21:27:22,code.exe,10,0,10,0,0,1,,,,1
2026-06-02,2026-06-02 06:53:24,code.exe,14,0,14,0,0,1,,,,1
2026-06-02,2026-06-02 07:09:39,python.exe,16,0,15,0,1,1,,,,1
2026-06-02,2026-06-02 07:09:39,code.exe,5,0,5,0,0,1,,,,2
2026-06-02,2026-06-02 07:11:57,zen.exe,24,24,0,0,0,0,,,,1
2026-06-02,2026-06-02 07:11:57,python.exe,12,0,12,0,0,1,,,,2
2026-06-02,2026-06-02 07:11:57,applicationframehost.exe,3,0,3,0,0,1,,,,3
2026-06-02,2026-06-02 07:11:57,screenclippinghost.exe,2,0,2,0,0,1,,,,4
2026-06-02,2026-06-02 07:11:57,searchapp.exe,1,0,1,0,0,1,,,,5
2026-06-02,2026-06-02 07:25:05,python.exe,21,0,21,0,0,1,,,,1
2026-06-02,2026-06-02 07:25:05,zen.exe,13,13,0,0,0,0,,,,2
2026-06-02,2026-06-02 07:25:05,code.exe,1,0,1,0,0,1,,,,3
2026-06-09,2026-06-09 13:06:19,python.exe,4,4,0,0,0,0,,,,1
2026-06-09,2026-06-09 13:09:37,python.exe,7,7,0,0,0,0,,,,1
2026-06-09,2026-06-09 13:09:59,code.exe,4,0,4,0,0,1,,,,1
2026-06-09,2026-06-09 13:09:59,python.exe,3,3,0,0,0,0,,,,2
2026-06-09,2026-06-09 13:10:01,python.exe,1,1,0,0,0,0,,,,1
2026-06-09,2026-06-09 13:10:13,python.exe,10,10,0,0,0,0,,,,1
2026-06-09,2026-06-09 13:10:30,python.exe,2,2,0,0,0,0,,,,1
2026-06-09,2026-06-09 13:10:35,python.exe,3,3,0,0,0,0,,,,1
2026-06-09,2026-06-09 13:11:51,python.exe,4,4,0,0,0,0,,,,1
2026-06-09,2026-06-09 13:11:51,code.exe,3,0,3,0,0,1,,,,2
2026-06-09,2026-06-09 13:20:43,code.exe,3,0,3,0,0,1,,,,1
2026-06-09,2026-06-09 13:20:43,python.exe,2,2,0,0,0,0,,,,2
2026-06-09,2026-06-09 13:21:13,python.exe,2,2,0,0,0,0,,,,1
2026-06-09,2026-06-09 13:21:50,python.exe,5,5,0,0,0,0,,,,1
2026-06-09,2026-06-09 13:21:50,code.exe,3,0,3,0,0,1,,,,2
2026-06-09,2026-06-09 13:24:47,python.exe,7,7,0,0,0,0,,,,1
2026-06-09,2026-06-09 13:26:11,python.exe,2,2,0,0,0,0,,,,1
2026-06-09,2026-06-09 14:43:15,code.exe,33,0,33,0,0,1,,,,1
2026-06-09,2026-06-09 14:43:15,python.exe,9,9,0,0,0,0,,,,2
2026-06-09,2026-06-09 14:44:11,code.exe,34,0,34,0,0,1,,,,1
2026-06-09,2026-06-09 14:49:39,python.exe,18,14,4,0,0,0,,,,1
2026-06-09,2026-06-09 14:50:11,python.exe,4,3,1,0,0,0,,,,1
2026-06-09,2026-06-09 14:50:11,code.exe,3,2,1,0,0,0,,,,2
2026-06-09,2026-06-09 14:58:21,python.exe,17,14,3,0,0,0,,,,1
2026-06-09,2026-06-09 14:58:21,code.exe,5,1,4,0,0,1,,,,2
2026-06-09,2026-06-09 14:59:37,python.exe,29,24,5,0,0,0,,,,1
2026-06-09,2026-06-09 14:59:37,screenclippinghost.exe,4,0,4,0,0,1,,,,2
2026-06-09,2026-06-09 14:59:37,applicationframehost.exe,3,0,3,0,0,1,,,,3
2026-06-09,2026-06-09 15:08:42,python.exe,17,8,9,0,0,1,,,,1
2026-06-09,2026-06-09 15:08:42,applicationframehost.exe,8,0,8,0,0,1,,,,2
2026-06-09,2026-06-09 15:08:42,screenclippinghost.exe,7,0,7,0,0,1,,,,3
2026-06-09,2026-06-09 15:08:42,searchapp.exe,1,1,0,0,0,0,,,,4
2026-06-09,2026-06-09 15:28:37,python.exe,3,2,1,0,0,0,,,,1
2026-06-09,2026-06-09 15:28:37,code.exe,2,0,2,0,0,1,,,,2
2026-06-09,2026-06-09 15:31:19,python.exe,3,2,1,0,0,0,,,,1
2026-06-09,2026-06-09 15:31:56,python.exe,3,2,1,0,0,0,,,,1
2026-06-09,2026-06-09 15:33:34,python.exe,3,2,1,0,0,0,,,,1
2026-06-09,2026-06-09 15:35:04,python.exe,4,3,1,0,0,0,,,,1
2026-06-09,2026-06-09 15:37:15,code.exe,13,0,13,0,0,1,,,,1
2026-06-09,2026-06-09 15:37:15,python.exe,12,10,2,0,0,0,,,,2
2026-06-09,2026-06-09 15:37:15,zen.exe,6,0,6,0,0,1,,,,3
2026-06-09,2026-06-09 15:37:15,discord.exe,2,0,0,0,2,3,,,,4
2026-06-09,2026-06-09 15:39:48,python.exe,3,2,1,0,0,0,,,,1
2026-06-09,2026-06-09 16:03:41,code.exe,19,0,0,0,19,3,,,,1
2026-06-09,2026-06-09 16:03:41,ms-teams.exe,15,0,0,1,14,3,,,,2
2026-06-09,2026-06-09 16:03:41,python.exe,2,0,2,0,0,1,,,,3
2026-06-09,2026-06-09 16:05:36,python.exe,33,7,26,0,0,1,,,,1
2026-06-09,2026-06-09 16:05:36,ms-teams.exe,31,0,0,31,0,2,,,,2
2026-06-09,2026-06-09 16:05:36,zen.exe,20,0,12,3,5,1,,,,3
2026-06-09,2026-06-09 16:05:36,winword.exe,6,0,0,0,6,3,,,,4
2026-06-09,2026-06-09 16:05:36,code.exe,2,0,0,0,2,3,,,,5
2026-06-09,2026-06-09 16:11:36,zen.exe,17,3,9,5,0,1,,,,1
2026-06-09,2026-06-09 16:11:36,code.exe,15,0,0,0,15,3,,,,2
2026-06-09,2026-06-09 16:11:36,python.exe,3,3,0,0,0,0,,,,3
2026-06-09,2026-06-09 16:14:34,code.exe,36,0,28,0,8,1,,,,1
2026-06-09,2026-06-09 16:14:34,zen.exe,8,0,8,0,0,1,,,,2
2026-06-09,2026-06-09 16:14:34,winword.exe,3,0,0,0,3,3,,,,3
2026-06-09,2026-06-09 16:14:34,discord.exe,1,0,0,0,1,3,,,,4
2026-06-09,2026-06-09 16:36:17,code.exe,1,0,1,0,0,1,,,,1
2026-06-17,2026-06-17 10:39:22,applicationframehost.exe,10,0,10,0,0,1,,,,1
2026-06-17,2026-06-17 10:39:22,winword.exe,8,0,0,0,8,3,,,,2
2026-06-17,2026-06-17 10:39:22,discord.exe,6,0,0,0,6,3,,,,3
2026-06-17,2026-06-17 10:39:22,screenclippinghost.exe,2,0,2,0,0,1,,,,4
2026-06-17,2026-06-17 10:39:22,searchapp.exe,1,0,1,0,0,1,,,,5
2026-06-18,2026-06-18 19:37:26,zen.exe,232,18,74,33,107,3,,,,1
2026-06-18,2026-06-18 19:37:26,steamwebhelper.exe,5,0,0,0,5,3,,,,2
2026-06-18,2026-06-18 19:37:26,limbuscompany.exe,1,0,1,0,0,1,,,,3
2026-06-18,2026-06-18 19:39:00,limbuscompany.exe,17,0,2,0,15,3,,,,1
2026-06-18,2026-06-18 19:39:00,zen.exe,6,0,6,0,0,1,,,,2
2026-06-18,2026-06-18 19:39:00,dwm.exe,5,0,5,0,0,1,,,,3
2026-06-18,2026-06-18 19:39:00,searchapp.exe,2,0,0,0,2,3,,,,4
2026-06-18,2026-06-18 19:39:00,startmenuexperiencehost.exe,1,0,0,0,1,3,,,,5
2026-06-18,2026-06-18 19:41:32,obs64.exe,7,0,7,0,0,1,,,,1
2026-06-18,2026-06-18 19:41:32,zen.exe,4,0,0,0,4,3,,,,2
2026-06-18,2026-06-18 19:44:30,zen.exe,44,0,20,0,24,3,,,,1
2026-06-18,2026-06-18 19:44:30,code.exe,16,0,5,0,11,3,,,,2
2026-06-18,2026-06-18 19:44:30,limbuscompany.exe,13,0,0,0,13,3,,,,3
2026-06-18,2026-06-18 19:44:30,obs64.exe,5,0,5,0,0,1,,,,4
2026-06-18,2026-06-18 19:46:33,zen.exe,2,0,2,0,0,1,,,,1
2026-06-18,2026-06-18 19:48:07,zen.exe,51,3,31,0,17,1,,,,1
2026-06-18,2026-06-18 19:48:07,obs64.exe,3,0,3,0,0,1,,,,2
2026-06-18,2026-06-18 19:49:06,obs64.exe,1,0,1,0,0,1,,,,1
2026-06-18,2026-06-18 19:50:36,zen.exe,27,0,1,26,0,2,,,,1
2026-06-18,2026-06-18 19:50:36,obs64.exe,7,0,7,0,0,1,,,,2
2026-06-18,2026-06-18 19:53:03,zen.exe,43,0,17,19,7,2,,,,1
2026-06-18,2026-06-18 19:53:03,powerpnt.exe,15,6,0,0,9,3,,,,2
2026-06-18,2026-06-18 19:53:03,code.exe,5,0,5,0,0,1,,,,3
2026-08-26,2026-08-26 02:34:00,discord.exe,2498,0,0,2498,0,2,,,,1
2026-08-26,2026-08-26 02:34:00,zen.exe,644,12,276,177,179,1,,,,2
2026-08-26,2026-08-26 02:34:00,obs64.exe,28,0,21,1,6,1,,,,3
2026-08-26,2026-08-26 02:34:00,steamwebhelper.exe,8,0,0,0,8,3,,,,4
2026-08-26,2026-08-26 02:34:00,screenclippinghost.exe,7,0,7,0,0,1,,,,5
2026-08-26,2026-08-26 02:34:00,code.exe,5,0,5,0,0,1,,,,6
2026-08-26,2026-08-26 02:34:00,winword.exe,4,0,0,0,4,3,,,,7
2026-08-26,2026-08-26 02:34:00,searchapp.exe,2,0,0,0,2,3,,,,8
2026-08-26,2026-08-26 08:05:05,zen.exe,3,0,3,0,0,1,1,View Assessment — Zen Browser,zen | web browser | app | browser | unknown | View Assessment — Zen Browser,1
date,session_ts,exe_name,total_seconds,q1_seconds,q2_seconds,q3_seconds,q4_seconds,dominant_q,predicted_q,window_title,feature_text,frequency_rank
2026-08-12,2026-08-12 15:26:00,zen.exe,2123,20,33,2,2068,3,2,game guide,zen | web browser | game | browser | unknown | game guide,1
2026-06-08,2026-06-08 15:29:55,python.exe,819,2,752,27,38,1,3,Python test run,python | app | app | unknown | unknown | Python test run,6
2026-08-14,2026-08-14 15:48:48,excel.exe,568,562,1,3,2,0,0,training data review,excel | app | office | unknown | unknown | training data review,9
2026-07-25,2026-07-25 10:30:25,code.exe,1898,88,1661,89,60,1,1,debugging session,code | app | dev | unknown | unknown | debugging session,10
2026-08-12,2026-08-12 20:40:29,zen.exe,955,69,14,872,0,2,2,community notifications,zen | web browser | communication | social | discord | community notifications,2
2026-08-04,2026-08-04 14:52:02,zen.exe,191,24,1,165,1,2,2,group discussion,zen | web browser | communication | social | discord | group discussion,12
2026-06-30,2026-06-30 16:29:47,zen.exe,2370,21,70,1,2278,3,1,gaming community,zen | web browser | game | browser | unknown | gaming community,12
2026-08-18,2026-08-18 16:58:42,zen.exe,1989,32,187,1445,325,2,2,Messenger conversation,zen | web browser | communication | social | discord | Messenger conversation,3
2026-06-27,2026-06-27 15:14:16,zen.exe,942,162,1,770,9,2,2,group discussion,zen | web browser | communication | social | discord | group discussion,6
2026-07-30,2026-07-30 18:02:19,python.exe,2512,0,2412,2,98,1,1,BeeAware - Live Productivity Engine,python | app | app | unknown | unknown | BeeAware - Live Productivity Engine,1
2026-07-16,2026-07-16 19:11:56,powerpnt.exe,93,62,0,2,29,0,0,Course presentation,powerpnt | app | office | unknown | unknown | Course presentation,5
2026-08-11,2026-08-11 11:53:11,limbuscompany.exe,620,4,6,11,599,3,3,game launcher,limbuscompany | app | game | unknown | unknown | game launcher,9
2026-08-17,2026-08-17 11:39:54,zen.exe,1878,174,11,1690,3,2,2,Discord project chat,zen | web browser | communication | social | discord | Discord project chat,11
2026-07-16,2026-07-16 15:17:55,powerpnt.exe,2471,2405,17,31,18,0,0,Course presentation,powerpnt | app | office | unknown | unknown | Course presentation,3
2026-08-05,2026-08-05 09:25:01,limbuscompany.exe,1793,70,6,145,1572,3,3,LimbusCompany update,limbuscompany | app | game | unknown | unknown | LimbusCompany update,12
2026-06-26,2026-06-26 10:00:18,python.exe,2397,112,2263,14,8,1,1,training script,python | app | app | unknown | unknown | training script,5
2026-07-10,2026-07-10 13:34:16,limbuscompany.exe,1370,126,2,4,1238,3,3,LimbusCompany,limbuscompany | app | game | unknown | unknown | LimbusCompany,7
2026-06-26,2026-06-26 14:02:56,excel.exe,1278,847,171,154,106,0,0,correction summary,excel | app | office | unknown | unknown | correction summary,3
2026-06-29,2026-06-29 10:50:40,code.exe,2671,14,2109,35,513,1,1,BeeAware project,code | app | dev | unknown | unknown | BeeAware project,7
2026-07-21,2026-07-21 10:52:41,slack.exe,1055,6,0,929,120,2,0,project notifications,slack | app | communication | unknown | unknown | project notifications,7
2026-08-19,2026-08-19 17:26:50,powerpnt.exe,184,167,4,7,6,0,0,BeeAware proposal,powerpnt | app | office | unknown | unknown | BeeAware proposal,8
2026-06-29,2026-06-29 15:27:58,excel.exe,289,287,1,1,0,0,2,correction summary,excel | app | office | unknown | unknown | correction summary,6
2026-06-20,2026-06-20 14:31:47,zen.exe,2688,26,129,149,2384,3,3,YouTube tutorial,zen | web browser | media | media | youtube | YouTube tutorial,5
2026-07-23,2026-07-23 10:38:02,limbuscompany.exe,185,3,2,17,163,3,3,LimbusCompany,limbuscompany | app | game | unknown | unknown | LimbusCompany,10
2026-08-04,2026-08-04 14:09:50,powerpnt.exe,1452,1184,54,164,50,0,0,project pitch deck,powerpnt | app | office | unknown | unknown | project pitch deck,6
2026-07-22,2026-07-22 08:32:08,python.exe,1834,18,1658,0,158,1,1,training script,python | app | app | unknown | unknown | training script,7
2026-07-18,2026-07-18 15:08:15,zen.exe,536,4,12,459,61,2,0,community notifications,zen | web browser | communication | social | discord | community notifications,8
2026-07-15,2026-07-15 08:25:23,zen.exe,1723,18,200,1336,169,2,2,community notifications,zen | web browser | communication | social | discord | community notifications,11
2026-06-04,2026-06-04 09:10:45,limbuscompany.exe,1933,0,0,16,1917,3,3,game launcher,limbuscompany | app | game | unknown | unknown | game launcher,6
2026-06-05,2026-06-05 15:31:12,excel.exe,1310,1230,61,16,3,0,0,Dataset analysis,excel | app | office | unknown | unknown | Dataset analysis,4
2026-06-06,2026-06-06 13:51:27,zen.exe,2160,53,1455,648,4,1,1,Python documentation,zen | web browser | dev | dev | github | Python documentation,11
2026-06-03,2026-06-03 15:08:00,excel.exe,2102,1908,26,1,167,0,0,correction summary,excel | app | office | unknown | unknown | correction summary,4
2026-07-18,2026-07-18 13:21:45,zen.exe,1625,2,1210,9,404,1,0,calendar planning,zen | web browser | productivity | productivity | google_docs | calendar planning,10
2026-07-25,2026-07-25 16:56:59,zen.exe,1018,75,40,84,819,3,3,Online game session,zen | web browser | game | browser | unknown | Online game session,11
2026-08-07,2026-08-07 11:47:28,powerpnt.exe,741,586,40,45,70,0,1,BeeAware proposal,powerpnt | app | office | unknown | unknown | BeeAware proposal,9
2026-08-25,2026-08-25 10:59:04,zen.exe,740,5,723,4,8,1,1,github.com BeeAware repository,zen | web browser | dev | dev | github | github.com BeeAware repository,9
2026-08-19,2026-08-19 09:44:42,zen.exe,2184,27,14,1810,333,2,2,community notifications,zen | web browser | communication | social | discord | community notifications,10
2026-06-09,2026-06-09 15:45:08,zen.exe,2631,46,675,65,1845,3,0,Online game session,zen | web browser | game | browser | unknown | Online game session,9
2026-06-20,2026-06-20 11:03:48,zen.exe,1377,0,1280,96,1,1,1,Stack Overflow question,zen | web browser | dev | dev | github | Stack Overflow question,11
2026-06-02,2026-06-02 13:26:23,zen.exe,1138,160,0,9,969,3,3,Roblox experience,zen | web browser | game | browser | unknown | Roblox experience,1
2026-07-18,2026-07-18 15:42:00,zen.exe,2000,11,1956,31,2,1,1,calendar planning,zen | web browser | productivity | productivity | google_docs | calendar planning,12
2026-07-18,2026-07-18 15:36:38,excel.exe,401,285,33,49,34,0,0,metrics worksheet,excel | app | office | unknown | unknown | metrics worksheet,8
2026-06-09,2026-06-09 13:46:06,zen.exe,2547,9,178,17,2343,3,3,YouTube entertainment,zen | web browser | media | media | youtube | YouTube entertainment,3
2026-08-20,2026-08-20 11:58:40,zen.exe,2111,36,1,13,2061,3,0,game guide,zen | web browser | game | browser | unknown | game guide,8
2026-06-12,2026-06-12 15:41:46,zen.exe,1573,3,0,11,1559,3,1,recommended videos,zen | web browser | media | media | youtube | recommended videos,4
2026-06-17,2026-06-17 19:59:54,zen.exe,1825,99,0,375,1351,3,3,music video,zen | web browser | media | media | youtube | music video,7
2026-08-22,2026-08-22 17:32:26,zen.exe,2553,449,2061,36,7,1,1,Google Docs research notes,zen | web browser | productivity | productivity | google_docs | Google Docs research notes,7
2026-06-18,2026-06-18 19:02:14,limbuscompany.exe,1853,36,76,42,1699,3,1,game launcher,limbuscompany | app | game | unknown | unknown | game launcher,9
2026-06-05,2026-06-05 13:02:14,python.exe,1577,312,1103,70,92,1,1,BeeAware - Live Productivity Engine,python | app | app | unknown | unknown | BeeAware - Live Productivity Engine,6
2026-08-21,2026-08-21 19:54:51,excel.exe,1485,1263,168,44,10,0,0,Dataset analysis,excel | app | office | unknown | unknown | Dataset analysis,4
2026-06-04,2026-06-04 12:15:24,code.exe,2251,85,1871,108,187,1,1,model evaluation,code | app | dev | unknown | unknown | model evaluation,4
2026-08-01,2026-08-01 15:01:13,excel.exe,1775,1383,10,50,332,0,0,Dataset analysis,excel | app | office | unknown | unknown | Dataset analysis,1
2026-07-24,2026-07-24 19:16:30,zen.exe,1776,12,199,187,1378,3,1,recommended videos,zen | web browser | media | media | youtube | recommended videos,7
2026-07-29,2026-07-29 18:37:50,excel.exe,1958,1683,15,98,162,0,0,training data review,excel | app | office | unknown | unknown | training data review,12
2026-07-30,2026-07-30 13:06:20,winword.exe,532,5,394,112,21,1,1,Research report,winword | app | office | unknown | unknown | Research report,3
2026-08-04,2026-08-04 10:22:43,zen.exe,2174,9,20,1924,221,2,1,Messenger conversation,zen | web browser | communication | social | discord | Messenger conversation,7
2026-08-13,2026-08-13 14:35:43,zen.exe,2075,114,120,1606,235,2,2,group discussion,zen | web browser | communication | social | discord | group discussion,10
2026-07-11,2026-07-11 08:16:07,zen.exe,1821,110,1703,1,7,1,1,online assignment brief,zen | web browser | productivity | productivity | google_docs | online assignment brief,2
2026-06-16,2026-06-16 14:01:28,winword.exe,1771,207,1209,34,321,1,1,project write-up,winword | app | office | unknown | unknown | project write-up,7
2026-07-06,2026-07-06 16:01:13,winword.exe,339,0,334,2,3,1,1,assignment draft,winword | app | office | unknown | unknown | assignment draft,5
2026-07-08,2026-07-08 17:40:07,limbuscompany.exe,2497,25,48,59,2365,3,3,LimbusCompany update,limbuscompany | app | game | unknown | unknown | LimbusCompany update,8
2026-06-12,2026-06-12 17:05:42,zen.exe,2098,29,1679,232,158,1,1,Python documentation,zen | web browser | dev | dev | github | Python documentation,5
2026-08-14,2026-08-14 17:19:41,powerpnt.exe,1374,1202,1,146,25,0,0,data mining slides,powerpnt | app | office | unknown | unknown | data mining slides,2
2026-08-22,2026-08-22 12:40:06,zen.exe,2359,107,412,1744,96,2,2,Discord project chat,zen | web browser | communication | social | discord | Discord project chat,12
2026-08-08,2026-08-08 12:25:37,winword.exe,520,1,518,0,1,1,3,project write-up,winword | app | office | unknown | unknown | project write-up,7
2026-07-07,2026-07-07 13:01:22,code.exe,974,1,728,244,1,1,1,debugging session,code | app | dev | unknown | unknown | debugging session,1
2026-08-13,2026-08-13 10:47:25,python.exe,1462,51,1331,77,3,1,0,BeeAware - Live Productivity Engine,python | app | app | unknown | unknown | BeeAware - Live Productivity Engine,4
2026-07-04,2026-07-04 10:45:59,limbuscompany.exe,1342,3,19,0,1320,3,2,game launcher,limbuscompany | app | game | unknown | unknown | game launcher,2
2026-08-10,2026-08-10 14:11:37,zen.exe,679,2,2,64,611,3,3,YouTube entertainment,zen | web browser | media | media | youtube | YouTube entertainment,3
2026-06-29,2026-06-29 14:37:11,zen.exe,1530,35,1479,15,1,1,1,calendar planning,zen | web browser | productivity | productivity | google_docs | calendar planning,9
2026-06-11,2026-06-11 16:39:23,python.exe,585,4,576,0,5,1,0,training script,python | app | app | unknown | unknown | training script,4
2026-07-27,2026-07-27 19:24:31,excel.exe,380,332,14,33,1,0,2,Dataset analysis,excel | app | office | unknown | unknown | Dataset analysis,3
2026-08-21,2026-08-21 16:09:40,winword.exe,2248,228,1841,108,71,1,2,assignment draft,winword | app | office | unknown | unknown | assignment draft,5
2026-07-30,2026-07-30 10:02:45,zen.exe,2032,18,24,1957,33,2,2,Discord project chat,zen | web browser | communication | social | discord | Discord project chat,9
2026-07-30,2026-07-30 15:34:37,excel.exe,1904,1575,170,1,158,0,0,correction summary,excel | app | office | unknown | unknown | correction summary,4
2026-08-21,2026-08-21 14:01:31,limbuscompany.exe,2514,159,59,14,2282,3,3,game launcher,limbuscompany | app | game | unknown | unknown | game launcher,9
2026-08-21,2026-08-21 19:47:02,excel.exe,1685,1248,355,4,78,0,0,metrics worksheet,excel | app | office | unknown | unknown | metrics worksheet,2
2026-08-04,2026-08-04 12:48:59,excel.exe,2259,1578,558,25,98,0,0,metrics worksheet,excel | app | office | unknown | unknown | metrics worksheet,10
2026-08-07,2026-08-07 19:49:25,slack.exe,175,0,0,143,32,2,2,course group chat,slack | app | communication | unknown | unknown | course group chat,11
2026-07-31,2026-07-31 08:48:13,limbuscompany.exe,2120,3,41,16,2060,3,3,game session,limbuscompany | app | game | unknown | unknown | game session,9
2026-08-26,2026-08-26 14:14:23,winword.exe,1199,1,1198,0,0,1,1,assignment draft,winword | app | office | unknown | unknown | assignment draft,4
2026-06-17,2026-06-17 16:15:05,code.exe,2558,5,2237,304,12,1,1,debugging session,code | app | dev | unknown | unknown | debugging session,3
2026-06-04,2026-06-04 20:19:57,excel.exe,2543,1772,12,128,631,0,0,training data review,excel | app | office | unknown | unknown | training data review,12
2026-07-01,2026-07-01 10:33:26,zen.exe,1975,15,1528,52,380,1,1,Python documentation,zen | web browser | dev | dev | github | Python documentation,8
